titre,url,difficulte,type,duree_min,utilisateurs,publie,point_de_vue,competences,technologies,outils,description
That's The Ticket,https://tryhackme.com/room/thatstheticket,medium,challenge,75,7807,2021-06-08,Red,Penetration testing; Red teaming,Linux,Burp Suite; Gobuster; Hydra; Metasploit Framework; SQLMap,"IT Support are going to have a bad day, can you get into the admin account?"
Crypto Failures,https://tryhackme.com/room/cryptofailures,medium,challenge,60,7772,2025-02-28,Red,,Linux,,Implementing your own military-grade encryption is usually not the best idea.
Develpy,https://tryhackme.com/room/bsidesgtdevelpy,medium,challenge,75,7759,2019-08-27,Red,Penetration testing; Red teaming,Linux,,boot2root machine for FIT and bsides Guatemala CTF
Learn Rust,https://tryhackme.com/room/rust,easy,walkthrough,45,7749,2020-09-16,Purple,Code review; Scripting; Secure coding,,,Learn Rust for someone who knows programming but doesn't know low level programming
Athena,https://tryhackme.com/room/4th3n4,medium,challenge,120,7722,2023-09-15,Red,Penetration testing; Red teaming; Vulnerability analysis,Linux; Web,,Break all security and compromise the machine.
Year of the Owl,https://tryhackme.com/room/yearoftheowl,hard,challenge,120,7702,2020-11-13,Red,Exploitation; Penetration testing; Privilege escalation,Windows,,The foolish owl sits on his throne...
Speed Chatting,https://tryhackme.com/room/lafb2026e4,easy,challenge,60,7644,2026-02-13,,,,,Can you hack as fast as you can chat?
HaskHell,https://tryhackme.com/room/haskhell,medium,challenge,75,7631,2020-06-17,Red,Application penetration testing; Penetration testing; Red teaming,Linux; Web,Gobuster; Nmap,Teach your CS professor that his PhD isn't in security.
Classic Passwd,https://tryhackme.com/room/classicpasswd,medium,challenge,75,7574,2021-02-07,Blue,Digital forensics,Linux,CyberChef,Practice your skills in reversing and get the flag bypassing the login
Cache Me Outside,https://tryhackme.com/room/cachemeoutside,medium,challenge,60,7551,2026-06-05,Blue,OSINT,,,Can you find this ex hacker turned outdoorsman?
WhyHackMe,https://tryhackme.com/room/whyhackme,medium,challenge,30,7527,2024-01-05,Red,Application penetration testing; Exploitation; Penetration testing; Privilege escalation,Linux; Web,,Dive into the depths of security and analysis with WhyHackMe.
Report Writing for SOC L2,https://tryhackme.com/room/reportwritingsocl2,easy,walkthrough,30,7520,2026-03-25,Blue,,,,Explore a vital skill for any senior role in a SOC: report writing.
Preparation,https://tryhackme.com/room/irpreparation,easy,walkthrough,45,7487,2026-06-09,Blue,Incident handling; Incident response,,,Understand the Preparation phase of the Incident Response lifecycle.
Love Letter Locker,https://tryhackme.com/room/lafb2026e2,easy,challenge,60,7469,2026-02-13,,,,,Use your skills to access other users' letters.
Monitoring Active Directory,https://tryhackme.com/room/monitoringactivedirectory,medium,walkthrough,60,7459,2026-03-03,Blue,Detection engineering; Endpoint security monitoring; Identity and access management (IAC); Incident response; Log analysis; Logging; SIEM engineering; Security logging configuration; Security operations; Threat hunting,Active Directory; Windows,Audit Policy NEW; Event Viewer NEW; GPO (Group Policy Objects); Group Policy Management Editor; Splunk,Learn to monitor Active Directory and find anomalies in high-volume logs.
StuxCTF,https://tryhackme.com/room/stuxctf,medium,challenge,75,7430,2019-06-25,Red,Code review; Penetration testing; Red teaming,Linux,Burp Suite; CyberChef; Hydra; Nmap; Wireshark,"Crypto, serealization, priv scalation and more ...!"
Python Playground,https://tryhackme.com/room/pythonplayground,hard,challenge,120,7412,2020-06-07,Red,Code review; Privilege escalation; Red teaming; Reverse shell techniques,Linux,,Be creative!
Break it,https://tryhackme.com/room/breakit,medium,challenge,75,7390,2019-09-14,Purple,Penetration testing; Threat hunting,,,Can you break the code?
Forensics,https://tryhackme.com/room/forensics,hard,challenge,60,7366,2019-05-04,Blue,Digital forensics; Security analysis,,,"This is a memory dump of compromised system, do some forensics kung-fu  to explore the inside."
Annie,https://tryhackme.com/room/annie,medium,challenge,60,7300,2022-07-01,Red,Application penetration testing; Penetration testing; Red teaming; Security analysis; Vulnerability analysis,Linux,AnyDesk; John the Ripper; Nmap,Remote access comes in different flavors.
Empline,https://tryhackme.com/room/empline,medium,challenge,60,7292,2021-09-17,Red,Exploitation,Linux; Web,,Are you good enough to apply for this job?
Threat Hunting: Introduction,https://tryhackme.com/room/threathuntingintroduction,easy,walkthrough,60,7257,2026-07-01,Blue,Threat hunting,,Splunk,"Learn the foundational concepts, approaches, and techniques of threat hunting."
Intro to Detection Engineering,https://tryhackme.com/room/introtodetectioneng,easy,walkthrough,30,7252,2026-05-26,Blue,Detection engineering,,,"Learn what Detection Engineering is, how it works in a SOC, and the mindset required to build effective detections."
Python: Core Concepts,https://tryhackme.com/room/pythoncoreconcepts,easy,walkthrough,60,7233,2026-05-21,Blue; Purple; Red,Scripting,Linux,Python,Build a foundational knowledge of Python core concepts.
Wireless Security,https://tryhackme.com/room/wirelesssecurity,easy,walkthrough,60,7217,2026-05-21,,,,,"Learn how wireless technologies work, the risks they introduce, and how to defend against them."
Different CTF,https://tryhackme.com/room/adana,hard,challenge,120,7205,2021-04-16,Red,Penetration testing; Red teaming; Security analysis; Vulnerability analysis,Linux; Web,Gobuster; Nmap; dirb; stegcracker,"interesting room, you can shoot the sun"
The Impossible Challenge,https://tryhackme.com/room/theimpossiblechallenge,medium,challenge,75,7186,2020-05-11,Red,Red teaming,Linux; Windows,CyberChef,‌‌‌‌‍﻿‌‌Hmm‌‌‌‌‍‬‌‍‌‌‌‌‍﻿‌﻿‌‌‌‌‍﻿‌﻿‌‌‌‌‍﻿‍﻿‌‌‌‌‍‬﻿﻿‌‌‌‌‍﻿‌‬‌‌‌‌‍‬‍‌‌‌‌‌‌‬‌‌‌‌‌‌‍‬‬‍‌‌‌‌‍﻿‌﻿‌‌‌‌‌‬‌‌‌‌‌‌‍‬‬‌‌‌‌‌‍‬‌‍‌‌‌‌‍‬‬‌‌‌‌‌‍‬‌‍‌‌‌‌‍‬‍‍‌‌‌‌‍﻿‬‬‌‌‌‌‍﻿‌‌‌‌‌‌‍﻿‬‬
Year of the Pig,https://tryhackme.com/room/yearofthepig,hard,challenge,120,7180,2020-10-09,Red,Application penetration testing; Exploitation; Penetration testing; Privilege escalation,Linux; Web,,Some pigs do fly...
Revenge,https://tryhackme.com/room/revenge,medium,challenge,75,7159,2020-10-11,Red,Password cracking; Privilege escalation; Red teaming,Linux,,You've been hired by Billy Joel to get revenge on Ducky Inc...the company that fired him.  Can you break into the server and complete your mission?
Cupid's Matchmaker,https://tryhackme.com/room/lafb2026e3,easy,challenge,60,7158,2026-02-13,,,,,Use your web exploitation skills against this matchmaking service.
Chrome,https://tryhackme.com/room/chrome,hard,challenge,180,7156,2024-03-01,Blue,Cryptography; Debugging; Digital forensics; Encryption; Hash cracking; Incident response; Network traffic analysis; Packet analysis,Linux; Windows,,Let us place all of our trust in a password manager.
CMSpit,https://tryhackme.com/room/cmspit,medium,challenge,75,7150,2021-07-30,Red,Penetration testing; Red teaming,Linux,Empire; Metasploit Framework; Nmap,This is a machine that allows you to practise web app hacking and privilege escalation using recent vulnerabilities.
CVE-2026-42945: Nginx Rift,https://tryhackme.com/room/cve202642945,easy,walkthrough,30,7128,2026-05-25,Purple,Privilege escalation,Linux,,"Exploit NGINX Rift, an unauthenticated heap overflow RCE in NGINX's rewrite module since 2008."
Hip Flask,https://tryhackme.com/room/hipflask,medium,walkthrough,180,7054,2021-09-10,Purple,Application penetration testing; Penetration testing; Red teaming,Linux,Nessus; Nikto; Nmap,An in-depth walkthrough covering pentest methodology against a vulnerable server
Snowy ARMageddon,https://tryhackme.com/room/armageddon2r,insane,challenge,60,7048,2024-01-01,Red,Application penetration testing; Exploit development; Exploitation; Penetration testing,Linux; Web,,Assist the Yeti in breaching the cyber police perimeter!
Dear QA,https://tryhackme.com/room/dearqa,easy,challenge,60,7042,2022-02-04,Red,Buffer overflow exploitation,Linux,,Are you able to solve this challenge involving reverse engineering and exploit development?
Prioritise,https://tryhackme.com/room/prioritise,medium,challenge,25,7039,2023-05-12,Red,Application penetration testing; Exploit development; Penetration testing; Red teaming; Scripting,Web,,In this challenge you will explore some less common SQL Injection techniques.
Eavesdropper,https://tryhackme.com/room/eavesdropper,medium,challenge,60,7037,2023-02-03,Red,Exploit development; Lateral movement; Password attacks; Penetration testing; Red teaming; Scripting,Linux,,"Listen closely, you might hear a password!"
REvil Corp,https://tryhackme.com/room/revilcorp,medium,challenge,45,7032,2021-11-18,Blue,Incident handling; Incident response; Malware analysis; Static malware analysis,Windows,,You are involved in an incident response engagement and need to analyze an infected host using Redline.
Volt Typhoon,https://tryhackme.com/room/volttyphoon,medium,challenge,90,6989,2025-05-16,Blue,Incident handling; Incident management; Incident response; SIEM engineering; Security operations,Linux; Windows,Splunk,Investigate a suspected intrusion by the notorious APT group Volt Typhoon.
Extracted,https://tryhackme.com/room/extractedroom,medium,challenge,90,6954,2024-10-16,Blue,Code review; Digital forensics,Linux; Windows,,We need your help!
CyberCrafted,https://tryhackme.com/room/cybercrafted,medium,challenge,120,6951,2021-11-19,Red,Exploitation,Linux; Web,,Pwn this pay-to-win Minecraft server!
Mnemonic,https://tryhackme.com/room/mnemonic,medium,challenge,75,6925,2020-09-27,Red,Penetration testing; Port scanning; Red teaming,Linux,Dirbuster; John the Ripper; Nmap,I hope you have fun.
Adventure Time,https://tryhackme.com/room/adventuretime,hard,challenge,120,6838,2019-09-22,Red,Application penetration testing; Penetration testing; Red teaming; Security analysis; Vulnerability analysis,Linux; Web,Nmap,A CTF based challenge to get your blood pumping...
One Piece,https://tryhackme.com/room/ctfonepiece65,medium,challenge,75,6828,2020-09-20,Red,Penetration testing; Red teaming,Linux,Metasploit Framework; Nmap,A CTF room based on the wonderful manga One Piece. Can you become the Pirate King?
Defensive Security Trends,https://tryhackme.com/room/defensivesecuritytrends,easy,walkthrough,45,6712,2026-06-26,Blue,Defensive security; Threat intelligence,,,Explore the modern security landscape and learn from emerging trends.
NoScope: Finding RCE,https://tryhackme.com/room/noscoperce,medium,walkthrough,60,6675,2026-07-01,Red,AI Pentesting; Web application security,Web,Python,NoScope found an Alf.io RCE zero-day (CVE-2026-35482). Exploit it manually and watch AI solve it.
Snyk Code,https://tryhackme.com/room/snykcode,easy,walkthrough,60,6673,2024-06-20,Blue,DevSecOps; Vulnerability analysis; Vulnerability management,,Snyk Code,Securing code with Snyk - a junior application security engineer's journey.
Corp Website,https://tryhackme.com/room/lafb2026e7,medium,challenge,60,6663,2026-02-13,,,,,lafb2026-e7
Squid Game,https://tryhackme.com/room/squidgameroom,hard,challenge,130,6583,2021-11-11,Blue,Code review; Static malware analysis,Linux,CyberChef,오징어 게임
Block,https://tryhackme.com/room/blockroom,medium,challenge,120,6578,2024-08-09,Blue,Digital forensics,Linux; Windows,,Encryption? What encryption?
VulnNet: Endgame,https://tryhackme.com/room/vulnnetendgame,medium,challenge,90,6502,2022-09-09,Red,Application penetration testing; Exploitation; Penetration testing; Red teaming,Linux; Web,Gobuster; Nikto; Nmap; SQLMap,Hack your way into this simulated vulnerable infrastructure. No puzzles. Enumeration is the key.
Cluster Hardening,https://tryhackme.com/room/clusterhardening,medium,walkthrough,30,6474,2024-06-25,Blue,Security operations,,Kube-bench; Kubelet,Learn initial security considerations when creating a Kubernetes cluster.
biteme,https://tryhackme.com/room/biteme,medium,challenge,60,6454,2022-03-11,Red,Application penetration testing; Penetration testing; Red teaming,Linux; Web,,Stay out of my server!
Dev Diaries,https://tryhackme.com/room/devdiaries,easy,challenge,30,6434,2026-03-17,,,,,Hunt through online development traces to uncover what was left behind.
Robots,https://tryhackme.com/room/robots,hard,challenge,120,6433,2025-03-14,Red,Application penetration testing; Exploit development; Network penetration testing; Penetration testing; Red teaming,Linux,,A (small) tribute to I. Asimov.
Signed Messages,https://tryhackme.com/room/lafb2026e8,medium,challenge,60,6397,2026-02-13,,,,,"Their messages are secret, unless you find the key."
Vectara,https://tryhackme.com/room/vectara,easy,challenge,60,6349,2026-05-14,,,,,A collection of beginner and easy difficulty challenges available as part of our public 2026: An AI Odyssey CTF event.
The Server From Hell,https://tryhackme.com/room/theserverfromhell,medium,challenge,75,6344,2020-11-01,Red,Exploitation; Penetration testing; Port scanning; Red teaming,Linux,Nmap,Face a server that feels as if it was configured and deployed by Satan himself. Can you escalate to root?
NerdHerd,https://tryhackme.com/room/nerdherd,medium,challenge,75,6309,2020-10-28,Red,Code review; Exploit development,Linux,Dirbuster; Metasploit Framework; Nmap,"Hack your way into this easy/medium level legendary TV series ""Chuck"" themed box!"
Recovery,https://tryhackme.com/room/recovery,medium,challenge,75,6217,2020-07-31,Purple,Exploitation; Lateral movement; Privilege escalation,Linux,,Not your conventional CTF
Host-Server Configuration Reviews,https://tryhackme.com/room/hostserverconfigurationreviews,easy,walkthrough,60,6207,2026-05-21,Red,Hardening,Linux; Windows,Python,Learn the basics of host-server configuration reviews.
CVE-2026-46300: Fragnesia,https://tryhackme.com/room/cve202646300,easy,walkthrough,30,6146,2026-05-25,Purple,Privilege escalation,Linux,,"Exploit Fragnesia, an LPE that surfaced due to dirtyfrag's patch."
Microservices Architectures,https://tryhackme.com/room/microservicearchitectures,easy,walkthrough,45,6143,2024-08-13,Blue,DevSecOps,Kubernetes,kubectl,Explore the problems associated with building a Microservice Architecture and how to overcome these to build a secure environment.
Linux Function Hooking,https://tryhackme.com/room/linuxfunctionhooking,medium,walkthrough,75,6092,2021-07-13,Purple,Code review; Penetration testing,Linux,,Learn about function hooking in Linux and have fun hooking functions
Kitty,https://tryhackme.com/room/kitty,medium,challenge,120,6040,2024-02-02,Red,Exploitation; Penetration testing; Privilege escalation; Scripting,Linux,,"Map? Where we are going, we don't need maps."
TryHack3M: Sch3Ma D3Mon,https://tryhackme.com/room/sch3mad3mon,medium,walkthrough,90,6022,2024-04-15,Purple,Network traffic analysis,Linux; Web,,A guided challenge to learn about SQL injection exploits.
harder,https://tryhackme.com/room/harder,medium,challenge,75,6011,2020-08-15,Red,Application penetration testing; Penetration testing; Red teaming,Linux; Web,Gobuster; Nmap,Real pentest findings combined
DLL HIJACKING,https://tryhackme.com/room/dllhijacking,medium,walkthrough,75,5985,2020-11-03,Red,Exploitation; Privilege escalation,Windows,Empire - NEW; Evil-winrm,DLL HIJACKING with Invoke-PrintDemon
Lunizz CTF,https://tryhackme.com/room/lunizzctfnd,medium,challenge,75,5984,2021-02-24,Red,Application penetration testing; Directory enumeration; Exploit development; Lateral movement; Network penetration testing; Penetration testing; Port scanning; Red teaming,Linux,,Lunizz CTF
macOS Forensics: Artefacts,https://tryhackme.com/room/macosforensicsartefacts,hard,walkthrough,120,5973,2025-04-16,Blue,Digital forensics,MacOs,plistutils,Understand the forensic artefacts in macOS and learn to leverage them for forensic analysis.
M365 Monitoring Basics,https://tryhackme.com/room/m365monitoringbasics,medium,walkthrough,45,5923,2026-03-10,Blue,Log analysis,Azure,Entra ID; Splunk,Learn the importance of Entra ID and M365 in modern SOC environments and explore their logs.
Madeye's Castle,https://tryhackme.com/room/madeyescastle,medium,challenge,75,5921,2021-01-31,Red,Application penetration testing; Hash cracking; Port scanning,Linux,Burp Suite; Hashcat; Nmap; SQLMap,A boot2root box that is modified from a box used in CuCTF by the team at Runcode.ninja
APT28 Inception Theory,https://tryhackme.com/room/apt28inceptiontheory,medium,walkthrough,60,5913,2025-05-14,Blue; Purple,Adversary emulation; Incident handling; Incident response; Threat hunting,Windows,Cobalt Strike; PowerShell,"Dive into the world of Fancy Bear, a Russian cyber espionage group, and explore their tactics and techniques."
You're in a cave,https://tryhackme.com/room/inacave,insane,challenge,180,5791,2020-11-18,Red,Penetration testing; Red teaming,Linux,Nmap,A room with some ctf elements inspired in text based RPGs
KoTH Hackers,https://tryhackme.com/room/kothhackers,medium,challenge,75,5789,2020-06-18,Red,Application penetration testing; Penetration testing; Privilege escalation,Linux,,"The Hackers KoTH box, to allow you to practice alone!"
Insekube,https://tryhackme.com/room/insekube,easy,walkthrough,120,5787,2022-02-23,Red,DevSecOps; Penetration testing; Red teaming,,,Exploiting Kubernetes by leveraging a Grafana LFI vulnerability
Backtrack,https://tryhackme.com/room/backtrack,medium,challenge,150,5692,2024-10-11,Red,,Linux,,Daring to set foot where no one has.
Have a Break,https://tryhackme.com/room/haveabreak,medium,challenge,45,5663,2026-04-03,Blue,Email analysis; Log correlation; OSINT,Linux,CyberChef; VirusTotal,Can you help us uncover the mystery behind the KitKat heist?
DevSecOps Basics,https://tryhackme.com/room/devsecopsbasics,medium,walkthrough,120,5648,2026-05-21,Purple,DevSecOps,,,"Learn about the story of DevSecOps, Software Development Models & Shifting Left."
Debug,https://tryhackme.com/room/debug,medium,challenge,75,5617,2021-03-30,Red,Exploitation; Security analysis,Linux; Web,,"Linux Machine CTF! You'll learn about enumeration, finding hidden password files and how to exploit php deserialization!"
Jacob the Boss,https://tryhackme.com/room/jacobtheboss,medium,challenge,75,5599,2020-09-06,Red,Application penetration testing; Penetration testing,Linux,,Find a way in and learn a little more.
Agent Design,https://tryhackme.com/room/agentdesign,easy,walkthrough,45,5538,2026-08-11,Blue,AI Pentesting,Artificial intelligence,Python,"Design a safe AI agent by defining its scope, tools, oversight, stop conditions, and output."
Dunkle Materie,https://tryhackme.com/room/dunklematerieptxc9,medium,challenge,45,5534,2021-08-30,Blue,Malware analysis; Security analysis,Windows,ProcDOT,Investigate the ransomware attack using ProcDOT.
Sea Surfer,https://tryhackme.com/room/seasurfer,hard,challenge,90,5511,2022-06-17,Red,Lateral movement; Penetration testing; Privilege escalation; Red teaming,Linux,,Ride the Wave!
Mayhem,https://tryhackme.com/room/mayhemroom,medium,challenge,60,5505,2025-04-18,Blue,Digital forensics; Malware analysis,Windows,Ghidra; Wireshark,Can you find the secrets inside the sea of mayhem?
Sweettooth Inc.,https://tryhackme.com/room/sweettoothinc,medium,challenge,75,5481,2021-07-23,Red,Code review; Penetration testing; Red teaming,Linux,Burp Suite; CyberChef; ffuf,Sweettooth Inc. needs your help to find out how secure their system is!
CVE-2026-31431: Copy-Fail,https://tryhackme.com/room/cve202631341,easy,walkthrough,30,5434,2026-05-08,,,,,"Exploit copy-fail, a kernel LPE that corrupts any file's page cache to gain root in seconds."
Profiles,https://tryhackme.com/room/profilesroom,medium,challenge,120,5416,2024-05-10,Blue,Digital forensics; Security analysis,Linux,,No profile? No problem.
ContainMe,https://tryhackme.com/room/containme1,medium,challenge,60,5411,2021-11-12,Red,Penetration testing; Red teaming,Linux,Nmap,Where am I ? Catch me
Crocc Crew,https://tryhackme.com/room/crocccrew,insane,challenge,180,5402,2021-08-13,Red,Cloud penetration testing; Penetration testing; Vulnerability analysis,Linux,BloodHound; Nmap; Responder,Crocc Crew has created a backdoor on a Cooctus Corp Domain Controller.  We're calling in the experts to find the real back door!
Frosteau Busy with Vim,https://tryhackme.com/room/busyvimfrosteau,insane,challenge,120,5344,2024-01-01,Red,Exploitation; Penetration testing; Privilege escalation,Linux,,Stay frosty!
Detection and Analysis,https://tryhackme.com/room/detectionandanalysis,medium,walkthrough,60,5263,2026-06-10,Blue,Incident response,,Splunk,Understand the Detection and Analysis phase of the Incident Response Lifecycle.
Agent Discovery,https://tryhackme.com/room/agentdiscovery,easy,walkthrough,30,5204,2026-08-04,Blue,AI Pentesting,Artificial intelligence,Python,"Compare traditional workflows, AI workflows, assistants, and agents for a security-alert problem."
Clocky,https://tryhackme.com/room/clocky,medium,challenge,300,5160,2024-03-29,Red,Penetration testing,Web,,Time is an illusion.
Umbrella,https://tryhackme.com/room/umbrella,medium,challenge,90,5139,2024-01-19,Red,Application penetration testing; Code review; Penetration testing; Privilege escalation,Linux; Web,,Breach Umbrella Corp's time-tracking server by exploiting misconfigurations around containerisation.
Entra ID Monitoring,https://tryhackme.com/room/entraidmonitoring,medium,walkthrough,60,5129,2026-03-12,Blue,Log analysis; Threat hunting,,Entra ID; Splunk,Learn the main threats and defenses in Entra ID environments and how to detect them.
Super Secret TIp,https://tryhackme.com/room/supersecrettip,medium,challenge,40,5128,2023-09-22,Red,Lateral movement; Penetration testing; Red teaming; Scripting,Linux,,Are you only good at one thing? You better be a matrix!
APIWizards Breach,https://tryhackme.com/room/apiwizardsbreach,medium,walkthrough,90,5090,2024-08-02,Blue,,Linux,,Investigate a security breach at APIWizards Inc.
Directory,https://tryhackme.com/room/directorydfirroom,hard,challenge,120,5048,2025-07-18,Blue,Digital forensics; Incident handling; Incident response; Vulnerability analysis,,,Do you have what it takes to crack this case?
Uranium CTF,https://tryhackme.com/room/uranium,hard,challenge,120,5037,2021-08-20,Red,Penetration testing; Phishing; Red teaming,Linux,Nmap,Uranium CTF
Iron Corp,https://tryhackme.com/room/ironcorp,hard,challenge,120,5034,2020-05-03,Red,Penetration testing; Red teaming,Linux,Burp Suite; Nmap; wfuzz,Can you get access to Iron Corp's system?
CherryBlossom,https://tryhackme.com/room/cherryblossom,hard,challenge,120,5028,2020-02-21,Red,Penetration testing; Red teaming,Linux,Hydra; Nmap,Boot-to-root with emphasis on crypto and password cracking.
Unstable Twin,https://tryhackme.com/room/unstabletwin,medium,challenge,75,5025,2021-04-30,Red,Application penetration testing; Penetration testing; Red teaming,Linux; Web,Gobuster; Nmap,"A Services based room, extracting information from HTTP Services and finding the hidden messages."
WWBuddy,https://tryhackme.com/room/wwbuddy,medium,challenge,75,4974,2020-09-01,Red,Application penetration testing; Exploitation; Port scanning,Web,,Exploit this website still in development and root the room.
EnterPrize,https://tryhackme.com/room/enterprize,hard,challenge,120,4971,2021-01-08,Red,Penetration testing,Linux; Web,,Can you hack your way in?
Lockdown,https://tryhackme.com/room/lockdown,medium,challenge,75,4949,2021-10-01,Red,Directory enumeration; Exploit development; Lateral movement; Network penetration testing; Penetration testing; Port scanning; Red teaming; Vulnerability analysis,,,Stay at 127.0.0.1. Wear a 255.255.255.0.
JVM Reverse Engineering,https://tryhackme.com/room/jvmreverseengineering,medium,challenge,75,4936,2020-05-17,Blue,,,,Learn Reverse Engineering for Java Virtual Machine bytecode
REloaded,https://tryhackme.com/room/reloaded,hard,challenge,120,4931,2021-02-26,Blue,,,,"This room is dedicated for the RE challenges, each challenge has unique concepts divided in each binaries. As if now only phase 1 is added will decide about phase 2 on response. Developed by WhiteHeart and tested by IslaMukheef"
Kubernetes for Everyone,https://tryhackme.com/room/kubernetesforyouly,medium,challenge,60,4918,2022-05-06,Red,Application penetration testing; DevSecOps,Linux,,A Kubernetes hacking challenge for DevOps/SRE enthusiasts.
Cactus,https://tryhackme.com/room/cactus,medium,walkthrough,60,4909,2023-11-21,Red,Detection engineering; Penetration testing; Vulnerability analysis,Linux,Burp Suite; Suricata,Bypass authentication and execute commands remotely on Cacti using CVE-2022-46169.
K8s Best Security Practices,https://tryhackme.com/room/k8sbestsecuritypractices,medium,walkthrough,60,4890,2024-07-16,Blue,Application security engineering; DevSecOps; System administration,Linux,,Best Kubernetes security practices at a cluster level.
The Bandit Surfer,https://tryhackme.com/room/surfingyetiiscomingtotown,hard,challenge,120,4876,2024-01-01,Red,Exploitation; Penetration testing; Privilege escalation,Linux,,The Bandit Yeti is surfing to town.
When Hearts Collide,https://tryhackme.com/room/lafb2026e1,medium,challenge,60,4833,2026-02-13,,,,,Will you find your MD5 match?
Ghizer,https://tryhackme.com/room/ghizerctf,medium,challenge,75,4826,2020-09-04,Red,Privilege escalation; Reverse shell techniques,,,lucrecia has installed multiple web applications on the server.
Session Forensics,https://tryhackme.com/room/sessionforensics,medium,walkthrough,60,4779,2025-09-02,Blue,Application security engineering; Memory forensics; Web application security,Web,API Logger; API Monitor; Python,Analyse sessions and tokens for web application investigations.
Unbaked Pie,https://tryhackme.com/room/unbakedpie,medium,challenge,75,4749,2020-12-02,Red,Application penetration testing; Exploitation; Penetration testing; Red teaming,Linux; Web,Hydra; Nmap,Don't over-baked your pie!
K8s Runtime Security,https://tryhackme.com/room/k8sruntimesecurity,medium,walkthrough,60,4749,2024-09-10,Blue,DevSecOps,Kubernetes,kubectl,Secure a Kubernetes environment using in-house offerings and runtime security tools like Falco.
Attacking ICS Plant #2,https://tryhackme.com/room/attackingics2,medium,challenge,75,4744,2021-03-21,Red,Application penetration testing; Red teaming; Security analysis; Vulnerability analysis,Linux; Web,curl,Discover and attack ICS plants using modbus protocol (Modicon / Schneider Electric).
M4tr1x: Exit Denied,https://tryhackme.com/room/m4tr1xexitdenied,hard,challenge,120,4730,2021-04-18,Red,Application penetration testing; Directory enumeration; Lateral movement; Network penetration testing; Port scanning; Red teaming; Vulnerability analysis,Linux,,Free your mind. Exit from the M4tr1x...
Binary Heaven,https://tryhackme.com/room/binaryheaven,medium,challenge,75,4719,2021-05-07,Red,Exploit development; Malware analysis,,,Let us enjoy the heaven of binaries
Minotaur's Labyrinth,https://tryhackme.com/room/labyrinth8llv,medium,challenge,120,4707,2021-11-05,Red,Penetration testing; Privilege escalation; Reverse shell techniques,Linux,,The Minotaur threw a fit and captured some people in the Labyrinth. Are you able to help Daedalus free them?
hc0n Christmas CTF,https://tryhackme.com/room/hc0nchristmasctf,hard,challenge,120,4700,2019-12-10,Red,Application penetration testing; Penetration testing; Red teaming,Linux; Web,Gobuster; Nmap,hackt the planet
New York Flankees,https://tryhackme.com/room/thenewyorkflankees,medium,challenge,180,4663,2024-07-12,Red,Privilege escalation,,,"Can you, the rogue adventurer, break through Stefan's defences to take control of his blog!"
Fusion Corp,https://tryhackme.com/room/fusioncorp,hard,challenge,120,4637,2021-06-15,Red,Exploitation; Penetration testing; User enumeration,Active Directory; Windows,,Fusion Corp said they got everything patched... did they?
Super-Spam,https://tryhackme.com/room/superspamr,medium,challenge,75,4586,2021-08-06,Blue,Email analysis; Phishing,Linux,Phishtool,"Defeat the evil Super-Spam, and save the day!!"
The Blob Blog,https://tryhackme.com/room/theblobblog,medium,challenge,75,4584,2020-09-02,Red,Code review; Penetration testing; Red teaming,Linux,CyberChef; Nmap,Successfully hack into bobloblaw's computer
"Fools Mate, Revenge",https://tryhackme.com/room/foolsm8v2,medium,challenge,60,4551,2026-07-03,Red,Enumeration; Exploitation; Web application security,Linux,Burp Suite; Nmap; curl,Do you have what it takes to defeat me and claim your prize?
Undiscovered,https://tryhackme.com/room/undiscoveredup,medium,challenge,75,4513,2020-10-23,Red,Application penetration testing; Password cracking; Penetration testing; Red teaming,Linux; Web,Gobuster; Hydra; Nmap; wfuzz,"Discovery consists not in seeking new landscapes, but in having new eyes.."
SafeZone,https://tryhackme.com/room/safezone,medium,challenge,75,4498,2021-03-28,Red,Penetration testing; Privilege escalation; Red teaming; Reverse shell techniques,Linux,,CTF Designed by CTF lover for CTF lovers
Cooctus Stories,https://tryhackme.com/room/cooctusadventures,medium,challenge,75,4472,2021-04-14,Red,Penetration testing; Red teaming,Linux,Nmap,This room is about the Cooctus Clan
Hacking Hadoop,https://tryhackme.com/room/hackinghadoop,hard,walkthrough,180,4457,2022-03-02,Red,Application security engineering; Information gathering; System administration,Linux,,Learning about the security failings commonly seen in Hadoop
Operation Endgame,https://tryhackme.com/room/operationendgame,hard,challenge,60,4443,2026-02-27,Red,Lateral movement,Windows,,This challenge will focus on exploiting an Active Directory environment.
Dave's Blog,https://tryhackme.com/room/davesblog,hard,challenge,120,4414,2020-06-26,Red,Exploitation; Penetration testing,Linux; Web,,My friend Dave made his own blog!
Obscure,https://tryhackme.com/room/obscured,medium,challenge,120,4376,2023-04-28,Red,Exploitation; Penetration testing; Privilege escalation,Linux,,A CTF room focused on web and binary exploitation.
For Business Reasons,https://tryhackme.com/room/forbusinessreasons,hard,challenge,120,4326,2020-09-18,Red,Exploitation; Port scanning; Privilege escalation; Reverse shell techniques,Linux; Web,,"In your network scan, you found an unknown VM...."
Aster,https://tryhackme.com/room/aster,medium,challenge,75,4285,2020-09-25,Red,Application penetration testing; Penetration testing; Red teaming; Security analysis; Vulnerability analysis,Linux; Web,Asterisk Call Manager; Nmap,Hack my server dedicated for building communications applications.
